Código	Nome da Atividade Acadêmica	Pré Requisitos 	CH	Período	Tipo	Ciclo_Geral	Ciclo_Detalhe	Ementa	Horários	Concluído
DCC203	PROGRAMAÇÃO E DESENVOLVIMENTO DE SOFTWARE I	NA	60	1	OB	OB	OB	Ementa	4,7	1
MAT001	CALCULO DIFERENCIAL E INTEGRAL I	NA	90	1	OB	OB	OB	Ementa	1,6,9	1
MAT038	GEOMETRIA ANALITICA E ALGEBRA LINEAR	NA	60	1	OB	OB	OB	Ementa	3,8	1
ELE629	INTRODUÇÃO A ENGENHARIA DE SISTEMAS	NA	30	1	OB	OB	OB	Ementa	5	1
DCC033	ANALISE NUMERICA	DCC203,MAT038	60	2	OB	OB	OB	Ementa	3,8	1
ELT124	SISTEMAS DIGITAIS	NA	60	2	OB	OB	OB	Ementa	9,10	1
FIS065	FUNDAMENTOS DE MECANICA	NA	60	2	OB	OB	OB	Ementa	2,5	1
MAT039	CALCULO DIFERENCIAL E INTEGRAL II	MAT001,MAT038	60	2	OB	OB	OB	Ementa	1,6	1
DCC204	PROGRAMAÇÃO E DESENVOLVIMENTO DE SOFTWARE II	DCC203	60	2	OB	OB	OB	Ementa	4,7	1
ELE064	ANALISE DE CIRCUITOS ELETRICOS I	NA	30	3	OB	OB	OB	Ementa	9	1
FIS069	FUNDAMENTOS DE ELETROMAGNETISMO	FIS065,MAT039	60	3	OB	OB	OB	Ementa	2,5	1
FIS152	FUNDAMENTOS DE MECÂNICA DOS FLUIDOS E TERMODINÂMICA	FIS065,MAT001	30	3	OB	OB	OB	Ementa	9	1
MAT002	CALCULO DIFERENCIAL E INTEGRAL III	MAT039	60	3	OB	OB	OB	Ementa	1,6	1
MAT015	EQUACOES DIFERENCIAIS A	MAT039	30	3	OB	OB	OB	Ementa	3,8	1
ELE078	PROGRAMACAO ORIENTADA A OBJETOS	DCC204	60	3	OB	OB	OB	Ementa	7,10	1
DCC205	ESTRUTURAS DE DADOS	DCC204	60	4	OB	OB	OB	Ementa	4,7	1
ELT029	LABORATORIO DE SISTEMAS DIGITAIS	ELT124	30	4	OB	OB	OB	Ementa	10	1
FIS086	FUNDAMENTOS DE OSCILACOES,ONDAS E OPTICA	FIS069	60	4	OB	OB	OB	Ementa	2,5	1
ELE065	ANALISE DE CIRCUITOS ELETRICOS II	ELE064,MAT015	30	4	OB	OB	OB	Ementa	9	1
EST031	ESTATISTICA E PROBABILIDADES	NA	60	4	OB	OB	OB	Ementa	3,8	1
MAT016	EQUACOES DIFERENCIAIS B	MAT039	60	4	OB	OB	OB	Ementa	1,6	1
ELT123	ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES	NA	60	5	OB	OB	OB	Ementa	1,6	1
ELT075	REDES NEURAIS ARTIFICIAIS	DCC204,MAT015,EST031	30	5	OB	OB	OB	Ementa	10	1
ELT125	ANÁLISE DE SISTEMAS DINÂMICOS LINEARES	MAT015	90	5	OB	OB	OB	Ementa	4,7	1
ELE079	ELETROMAGNETISMO COMPUTACIONAL	FIS069	60	5	OB	OB	OB	Ementa	2,5	1
ELE092	LABORATORIO DE PROJETO I	NA	30	5	OB	OB	OB	Ementa	9	1
EMA255	FLUIDOS E TERMODINAMICA COMPUTACIONAL	NA	60	5	OB	OB	OB	Ementa	3,8	1
ELE156	LAB.DE CIRCUITOS ELETRICOS ELETRONICA C	ELE065	30	6	OB	OB	OB	Ementa	3	1
ELE081	LABORATORIO DE PROJETO II	ELE092	60	6	OB	OB	OB	Ementa	1,2	1
ELE082	PESQUISA OPERACIONAL	MAT015	60	6	OB	OB	OB	Ementa	5,6	1
ELE080	ENGENHARIA DE SOFTWARE	ELE078	60	6	OB	OB	OB	Ementa	8,9	0
ELT126	ENGENHARIA DE CONTROLE	ELT125	90	6	OB	OB	OB	Ementa	4,7	0
DCC023	REDES DE COMPUTADORES	DCC204	60	7	OB	OB	OB	Ementa	1,6	1
ELE077	OTIMIZACAO NAO LINEAR	DCC033,MAT015	30	7	OB	OB	OB	Ementa	9	1
ELE084	LABORATORIO DE PROJETO III	ELE081	60	7	OB	OB	OB	Ementa	3,4	0
EEE017	CONFIABILIDADE DE SISTEMAS	EST031	60	7	OB	OB	OB	Ementa	7,8	0
ELT079	DISPOSIT.E CIRCUITOS ELETRONICOS BASICOS	NA	60	7	OB	OB	OB	Ementa	2,5	0
ELE075	SISTEMAS NEBULOSOS	MAT015	30	8	OB	OB	OB	Ementa	6	1
ELE088	TEORIA DA DECISAO	ELE077	30	8	OB	OB	OB	Ementa	9	1
ELE042	PROCESSAMENTOS DE SINAIS	ELT125	60	8	OB	OB	OB	Ementa	1,2	0
ELE083	COMPUTACAO EVOLUCIONARIA	ELE077	30	8	OB	OB	OB	Ementa	5	0
ELE086	LABORATORIO DE PROJETO IV	ELE084	60	8	OB	OB	OB	Ementa	7,8	0
ELT016	TECNICAS DE MODELAGEM DE SIST. DINAMICOS 	ELT125	30	8	OB	OB	OB	Ementa	3	0
ELT080	LAB.DE CIRCUITOS ELETRONICOS E PROJETOS	ELT079	30	8	OB	OB	OB	Ementa	4	0
ELE087	PROJETO MULTIDISCIPLINAR	ELE086	60	9	OB	OB	OB	Ementa	7,8	0
ELE094	LABORATORIO DE PROJETO V	NA	60	9	OB	OB	OB	Ementa	3,4	0
EEE018	TRABALHO DE CONCLUSAO DE CURSO I	NA	90	10	OB	OB	OB	Ementa	101	1
EEE019	TRABALHO DE CONCLUSAO DE CURSO II	EEE018	90	11	OB	OB	OB	Ementa	102	0
EEE020	ESTAG.SUPERVISIONADO EM ENG.DE SISTEMAS	NA	165	12	OB	OB	OB	Ementa	103	0